[1, -1, 0, -332311, -73733731]:1058:1058.e1:[-1, 3, 2, -2, 4, 4, -1, -7, 0, -4, 6, -2, 6, -1, 6, -8, -9, -4, 7, 6, -9, 12, -5, -6, 6]:
[1, 1, 0, -10688944, -13455141672]:1246:1246.g1:[-1, 2, 2, -1, 0, 4, 2, -2, 0, 8, 8, 8, 6, -2, 8, -10, -6, 4, -8, -8, -2, -8, -2, 1, -2]:
[1, 1, 0, -10688904, -13455247360]:1246:1246.g2:[-1, 2, 2, -1, 0, 4, 2, -2, 0, 8, 8, 8, 6, -2, 8, -10, -6, 4, -8, -8, -2, -8, -2, 1, -2]:
[1, 1, 1, -117257250, -488766109679]:1342:1342.b1:[1, -1, -4, -2, 1, -1, 3, 0, 4, 10, 7, 3, -8, -11, -12, 9, 0, 1, 8, -3, 14, 0, 14, 0, -17]:
[0, 0, 0, -1126128, -459970256]:1584:1584.g1:[0, 0, -1, 2, 1, 4, 2, 0, -1, 0, -7, 3, 8, 6, 8, 6, 5, 12, 7, -3, 4, 10, -6, -15, -7]:
[0, -1, 0, -76162, -8064798]:1664:1664.r1:[0, 2, 2, 4, 6, -1, -2, -6, 4, 10, -8, -6, -6, -10, 0, -6, -10, 2, 2, 4, -2, 8, -14, 14, 14]:
[0, -1, 0, -76157, -8065915]:1664:1664.r2:[0, 2, 2, 4, 6, -1, -2, -6, 4, 10, -8, -6, -6, -10, 0, -6, -10, 2, 2, 4, -2, 8, -14, 14, 14]:
[1, 0, 0, 3598190, 517296968]:1938:1938.i2:[1, 1, 1, 3, 2, 4, 1, -1, -6, -10, 2, -2, -8, -6, 3, 9, 0, 2, 3, -3, 4, 10, -11, 15, 13]:
[1, -1, 1, -10960808, -13964543161]:2178:2178.m1:[1, 0, 4, 2, 0, -4, -2, 0, 6, 10, -8, -2, 2, -4, 2, -4, 0, 8, -12, -2, 6, -10, 4, -10, -2]:
[1, -1, 1, -10949918, -13993684801]:2178:2178.m2:[1, 0, 4, 2, 0, -4, -2, 0, 6, 10, -8, -2, 2, -4, 2, -4, 0, 8, -12, -2, 6, -10, 4, -10, -2]:
[1, -1, 0, -528241, -147664867]:2366:2366.g1:[-1, 3, -3, 1, 4, 0, 2, -4, -1, -2, 10, 4, 12, 0, -10, -4, 9, 13, 2, -15, -2, 4, -8, 14, 2]:
[1, -1, 0, -51969609, -144342625779]:2574:2574.j1:[-1, 0, 1, 1, -1, -1, -4, 6, -3, 5, 4, 10, 7, -5, 8, 2, 3, 13, -9, -2, -3, 10, 14, 8, -14]:
[1, -1, 0, 147177801, 9059661330291]:2574:2574.j2:[-1, 0, 1, 1, -1, -1, -4, 6, -3, 5, 4, 10, 7, -5, 8, 2, 3, 13, -9, -2, -3, 10, 14, 8, -14]:
[1, -1, 1, -8109, -279017]:2834:2834.e1:[1, 3, 2, 1, -5, -1, 6, 3, -4, 8, -5, -12, -9, 4, -8, 9, -7, 10, -8, 7, 8, 8, 6, 12, 2]:
[0, 0, 0, -67712979, -214449400690]:3384:3384.f1:[0, 0, 2, 0, 2, 4, -2, 8, 8, 6, -10, -6, 0, -8, -1, -10, 8, 10, 8, 16, -2, 4, 16, -6, -10]:
[0, 0, 0, -3940059, -3832955098]:3384:3384.f2:[0, 0, 2, 0, 2, 4, -2, 8, 8, 6, -10, -6, 0, -8, -1, -10, 8, 10, 8, 16, -2, 4, 16, -6, -10]:
[0, 0, 0, -362249, -165197113]:3952:3952.g1:[0, 0, 2, 2, 2, -1, -7, -1, 5, 2, 3, 7, 7, 9, 2, 6, -3, 11, 3, 16, 2, 4, 6, -6, -11]:
[0, -1, 0, -14776332, -21857487288]:4092:4092.d1:[0, -1, 2, 2, -1, -2, -4, -2, 8, 0, -1, 10, 8, 2, 0, -2, 4, 10, 4, 0, 14, 10, 0, 2, -2]:
[0, -1, 0, -923517, -341295030]:4092:4092.d2:[0, -1, 2, 2, -1, -2, -4, -2, 8, 0, -1, 10, 8, 2, 0, -2, 4, 10, 4, 0, 14, 10, 0, 2, -2]:
[0, -1, 0, -10992616, -14009730192]:4592:4592.k1:[0, 2, 4, -1, -4, 4, -2, 6, 8, 6, -4, 2, -1, 0, -4, 2, -14, 4, 8, -8, -14, 8, -6, 10, 6]:
[0, -1, 0, -506856, -336299152]:4592:4592.k2:[0, 2, 4, -1, -4, 4, -2, 6, 8, 6, -4, 2, -1, 0, -4, 2, -14, 4, 8, -8, -14, 8, -6, 10, 6]:
[1, 1, 0, 6568846, -15986285388]:5082:5082.h1:[-1, -1, 2, -1, 0, 5, -6, 4, 1, -1, -1, 12, -9, 5, 10, -2, 13, -11, -7, -1, 4, 4, -11, 13, -12]:
[1, 1, 0, -1195106203, -15902721896291]:5586:5586.d1:[-1, -1, -1, 0, -5, 4, -2, -1, 6, -3, 1, 6, -6, -4, 6, -3, -9, -10, 10, -16, 6, 7, 9, 8, 3]:
[0, 1, 1, -1808430, -936762155]:5887:5887.c1:[2, 1, -4, 1, -2, 4, 2, -5, 9, 0, 8, -8, 3, 6, 7, 9, 0, -2, 3, 7, 1, 0, 14, -15, -3]:
[0, 0, 0, -65361099, -203388840070]:5904:5904.o1:[0, 0, 2, -2, 4, 4, 2, 0, 4, 0, -4, 2, 1, 12, -2, 4, -4, 10, 8, -10, -2, 14, -12, -10, -18]:
