[1, 0, 0, -15663, -755809]:182:182.d1:[1, 1, 0, 1, -3, 1, 0, 2, -3, 0, 5, -7, 3, 8, -3, -12, 6, -1, 5, 12, 11, -1, 12, -18, 17]:
[0, -1, 0, -174753, -28059871]:448:448.g1:[0, 2, 0, 1, 0, 4, 6, -2, 0, 6, -4, -2, 6, -8, -12, -6, 6, -8, 4, 0, 2, 8, 6, -6, -10]:
[0, -1, 0, -10913, -436447]:448:448.g2:[0, 2, 0, 1, 0, 4, 6, -2, 0, 6, -4, -2, 6, -8, -12, -6, 6, -8, 4, 0, 2, 8, 6, -6, -10]:
[0, -1, 1, -19233, -1020257]:475:475.b1:[0, 2, 0, 1, 3, 4, 3, 1, 0, 6, -4, -2, -6, 1, 3, -12, -6, -1, 4, 6, 7, 8, -12, 12, -8]:
[1, 1, 1, -32663, -1583717]:578:578.a1:[1, 2, 0, 4, -6, 2, 0, -4, 0, 0, 4, 4, -6, 8, 0, -6, 0, 4, 8, 0, -2, -8, 0, -6, -14]:
[1, 1, 1, -29773, -1989473]:578:578.a2:[1, 2, 0, 4, -6, 2, 0, -4, 0, 0, 4, 4, -6, 8, 0, -6, 0, 4, 8, 0, -2, -8, 0, -6, -14]:
[1, 0, 0, -529046, -148084874]:910:910.g1:[1, -2, -1, 1, 0, 1, 0, 2, 6, 6, -4, 2, 0, 8, 0, 12, 6, -10, -4, 6, 2, 8, 12, 0, -10]:
[1, 0, 0, -528976, -148126020]:910:910.g2:[1, -2, -1, 1, 0, 1, 0, 2, 6, 6, -4, 2, 0, 8, 0, 12, 6, -10, -4, 6, 2, 8, 12, 0, -10]:
[1, 0, 0, -351399, -80206123]:938:938.d1:[1, 1, 3, 1, -6, 5, 6, 2, -3, -9, 5, 11, 3, -10, -12, -6, 0, -10, 1, -3, 2, 8, 6, 6, -10]:
[1, 1, 0, -39, -112]:1913:1913.b1:[1, 2, 2, 4, 2, 2, -2, 2, -4, 6, 10, -6, -6, 0, -6, 2, 0, -2, -4, -6, 10, 6, -8, 14, 18]:
[1, 1, 0, -34, -135]:1913:1913.b2:[1, 2, 2, 4, 2, 2, -2, 2, -4, 6, 10, -6, -6, 0, -6, 2, 0, -2, -4, -6, 10, 6, -8, 14, 18]:
[1, 1, 0, -58293654, -171333232940]:2006:2006.c1:[-1, -1, 2, 4, -2, -7, 1, 8, -5, 9, 5, -2, 2, 4, 4, 4, -1, 8, 5, -6, 2, 10, -9, 4, 5]:
[1, 1, 0, -1850, -31411]:2429:2429.d1:[1, 2, 0, -1, 0, 6, 0, 8, 0, 6, 6, 10, -12, 4, -4, 6, 2, -2, 12, -8, 10, 0, -6, -2, 12]:
[1, 1, 0, -115, -528]:2429:2429.d2:[1, 2, 0, -1, 0, 6, 0, 8, 0, 6, 6, 10, -12, 4, -4, 6, 2, -2, 12, -8, 10, 0, -6, -2, 12]:
[1, -1, 1, -357837484, -2605325248209]:2534:2534.f1:[1, 0, 2, -1, 4, 2, 2, 0, 0, 6, 8, -2, -6, -12, 8, 14, 0, 10, 4, 8, -6, -8, 0, -14, -14]:
[1, -1, 1, -22436524, -40429905617]:2534:2534.f2:[1, 0, 2, -1, 4, 2, 2, 0, 0, 6, 8, -2, -6, -12, 8, 14, 0, 10, 4, 8, -6, -8, 0, -14, -14]:
[1, -1, 1, -22364844, -40704009937]:2534:2534.f3:[1, 0, 2, -1, 4, 2, 2, 0, 0, 6, 8, -2, -6, -12, 8, 14, 0, 10, 4, 8, -6, -8, 0, -14, -14]:
[1, -1, 1, -1393324, -640018129]:2534:2534.f4:[1, 0, 2, -1, 4, 2, 2, 0, 0, 6, 8, -2, -6, -12, 8, 14, 0, 10, 4, 8, -6, -8, 0, -14, -14]:
[1, -1, 1, -303, -1955]:2534:2534.i1:[1, 3, -1, -1, 4, -1, -1, 6, -6, 0, 8, 4, 9, 0, -4, 2, -3, -14, -2, 2, 6, -5, -6, -14, 10]:
[1, 0, 1, -76353, -13098892]:2590:2590.a1:[-1, -2, 1, 1, 6, 5, 0, 2, 3, 3, 5, 1, 0, -10, -9, 9, 6, 8, -13, 3, -7, -10, 0, -15, -10]:
[1, 1, 0, -43718, -3536620]:2674:2674.d1:[-1, 2, 4, -1, 6, 0, -2, 4, 0, 4, 0, -8, -6, 0, 0, 0, -6, 6, -8, -12, 10, 8, 0, 14, -2]:
[1, 1, 0, -2758, -55020]:2674:2674.d2:[-1, 2, 4, -1, 6, 0, -2, 4, 0, 4, 0, -8, -6, 0, 0, 0, -6, 6, -8, -12, 10, 8, 0, 14, -2]:
[1, 1, 0, -48498, -4131148]:2710:2710.d1:[-1, 2, -1, -2, -2, -2, 0, 4, 5, 7, -7, 11, 3, 6, 7, -3, -1, 4, 3, 6, 2, 3, 9, 13, 5]:
[0, -1, 0, -57, -148]:2768:2768.d1:[0, 2, 2, 2, 2, 6, 2, -2, 4, 2, -8, -2, 10, -8, -12, 2, -6, -6, -4, 2, 10, 2, 0, -6, 10]:
[0, -1, 0, -52, -180]:2768:2768.d2:[0, 2, 2, 2, 2, 6, 2, -2, 4, 2, -8, -2, 10, -8, -12, 2, -6, -6, -4, 2, 10, 2, 0, -6, 10]:
